 	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	%Area	RawIntDen	Slice	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	4112.922	104.417	3.528	103	97	110	129.593	75.596	129.630	75.169	298.845	92.567	18.513	74.053	111.080	114.866	45.590	64.272	0.579	124.191	429457.619	103	-0.141	0.209	100	1253	1	92.567	129.593	63.435	64.419	2.520	0.397	0.686
2	1028.231	102.667	2.887	101	101	106	2082.750	46.283	2082.750	45.983	126.417	2073.493	18.513	18.513	55.540	62.670	20.890	90	0.809	58.544	105565.001	101	0.707	-1.500	100	308	1	2073.493	18.513	108.435	18.513	3	0.333	1
3	1370.974	99	0	99	99	99	3128.753	37.027	3128.753	37.027	104.727	3110.240	18.513	37.027	37.027	41.780	41.780	0	1	52.364	135726.430	99	NaN	NaN	100	396	1	3110.240	18.513	135	37.027	1	1.000	1
4	342.744	96	0	96	96	96	4582.050	27.770	4582.050	27.770	52.364	4572.793	18.513	18.513	18.513	20.890	20.890	0	1	26.182	32903.377	96	NaN	NaN	100	96	1	4572.793	18.513	135	18.513	1	1.000	1
5	1028.231	103	0	103	103	103	5421.321	40.112	5421.321	40.112	104.727	5405.893	18.513	37.027	37.027	43.777	29.906	135.000	1	52.364	105907.745	103	NaN	NaN	100	309	1	5405.893	18.513	135	37.027	1.464	0.683	0.857
6	2399.205	104.571	7.300	101	97	115	6655.543	46.283	6655.796	46.410	157.091	6627.773	18.513	55.540	55.540	69.832	43.744	45.000	1	78.545	250888.250	101	0.778	-1.119	100	732	1	6627.773	74.053	45	52.364	1.596	0.626	0.875
7	2399.205	100.857	2.911	99	98	105	8842.761	54.218	8842.896	54.334	194.118	8812.347	18.513	55.540	74.053	65.094	46.929	100.901	0.800	76.332	241976.919	100	0.765	-1.158	100	706	1	8830.860	18.513	104.036	55.540	1.387	0.721	0.737
8	1713.718	97.600	0.548	98	97	98	9606.569	49.986	9606.561	49.925	141.754	9589.907	18.513	37.027	55.540	58.211	37.484	108.435	1	66.751	167258.833	98	-0.408	-1.833	100	488	1	9589.907	18.513	123.690	37.027	1.553	0.644	0.909
9	3427.435	102.600	4.551	99	97	109	12255.827	61.094	12255.754	61.585	283.508	12218.800	18.513	74.053	92.567	99.987	43.645	49.405	0.536	118.543	351654.842	104	0.274	-1.549	100	1026	1	12218.800	111.080	51.340	65.455	2.291	0.437	0.667
10	2741.948	100.875	3.399	99	99	109	12376.163	55.540	12376.095	55.987	268.171	12348.393	18.513	55.540	92.567	78.671	44.377	90.000	0.479	99.697	276594.013	100	1.981	2.392	100	807	1	12348.393	18.513	111.801	55.540	1.773	0.564	0.667
