 	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	%Area	RawIntDen	Slice	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	6255.069	156.630	24.751	123	122	204	898.721	62.197	898.743	61.524	490.716	842.357	9.257	120.337	111.080	99.286	80.215	156.680	0.326	131.562	979732.327	155	0.187	-1.137	100	11434	1	860.870	111.080	39.289	106.868	1.238	0.808	0.598
2	3341.749	155.154	20.976	126	124	199	1305.546	50.912	1305.850	51.722	311.936	1268.163	9.257	83.310	83.310	79.578	53.468	62.483	0.432	105.542	518485.246	151	0.261	-0.640	100	6051	1	1277.420	92.567	52.125	78.687	1.488	0.672	0.629
3	1199.602	162.214	21.079	176	127	189	1855.962	31.076	1855.420	31.493	123.241	1832.820	9.257	46.283	37.027	47.226	32.342	18.937	0.993	53.975	194592.628	175	-0.602	-0.991	100	2271	1	1832.820	46.283	30.964	37.027	1.460	0.685	0.848
4	1113.916	135.462	12.933	123	123	157	4319.659	24.566	4319.407	24.656	128.663	4295.093	9.257	55.540	27.770	56.940	24.908	162.517	0.846	62.096	150892.831	130	0.483	-1.157	100	1761	1	4295.093	9.257	153.435	27.770	2.286	0.437	0.867
5	5312.524	146	19.587	133	122	184	4409.757	83.609	4409.719	84.629	443.775	4350.633	9.257	120.337	120.337	122.748	55.106	137.222	0.339	146.361	775628.566	141	0.573	-0.848	100	9052	1	4387.660	9.257	124.695	80.357	2.228	0.449	0.599
6	1113.916	162.231	25.407	133	129	206	7563.765	28.838	7564.257	29.085	110.150	7544.183	9.257	37.027	37.027	40.547	34.978	135.000	1	46.283	180711.516	164	0.099	-1.219	100	2109	1	7553.440	9.257	126.870	37.027	1.159	0.863	0.897
7	428.429	148.800	18.526	155	126	173	189.762	32.398	189.401	32.647	78.545	175.877	18.513	27.770	27.770	23.356	23.356	0	0.873	29.272	63750.293	155	0.007	-1.269	100	744	1	185.133	18.513	108.435	26.182	1	1.000	0.714
8	257.058	129.333	1.155	130	128	130	563.114	26.227	563.082	26.243	52.364	555.400	18.513	18.513	18.513	21.889	14.953	45.000	1	26.182	33246.121	130	-0.707	-1.500	100	388	1	555.400	37.027	45	18.513	1.464	0.683	0.857
9	24677.533	153.993	23.014	124	122	214	1147.666	129.947	1149.473	132.108	1539.464	981.207	18.513	314.727	249.930	280.532	112.003	147.795	0.131	360.535	3800168.679	151	0.405	-0.803	100	44350	1	981.207	55.540	150.803	175.687	2.505	0.399	0.494
10	1285.288	137.267	12.731	126	122	155	1634.419	47.209	1633.757	47.634	149.422	1610.660	18.513	46.283	55.540	61.030	26.814	43.974	0.723	66.751	176427.222	131	0.172	-1.655	100	2059	1	1619.917	74.053	56.310	32.727	2.276	0.439	0.769
