 	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	%Area	RawIntDen	Slice	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	685.487	157.125	12.575	139	139	170	1332.960	23.142	1332.765	22.980	91.636	1314.447	9.257	37.027	27.770	32.298	27.023	0	1	38.166	107707.148	164	-0.526	-1.192	100	1257	1	1314.447	18.513	165.964	27.770	1.195	0.837	0.800
2	685.487	166.750	7.960	159	159	179	3378.683	23.142	3378.676	22.989	91.636	3360.170	9.257	37.027	27.770	32.298	27.023	0	1	38.166	114304.961	165	0.375	-1.393	100	1334	1	3360.170	18.513	165.964	27.770	1.195	0.837	0.800
3	2656.262	154.387	14.282	143	134	179	5554.149	35.384	5554.847	35.158	254.150	5507.717	9.257	92.567	64.797	79.808	42.378	23.270	0.517	94.400	410092.611	151	0.647	-0.959	100	4786	1	5507.717	37.027	11.310	60.633	1.883	0.531	0.681
4	428.429	177.600	7.765	180	165	186	6336.188	23.142	6336.032	23.173	78.545	6322.303	9.257	27.770	27.770	23.356	23.356	0	0.873	29.272	76089.059	180	-0.824	-0.400	100	888	1	6331.560	9.257	108.435	26.182	1	1.000	0.714
5	3427.435	152.550	17.124	138	133	188	6596.532	59.011	6596.291	59.405	283.508	6562.977	9.257	83.310	92.567	80.333	54.323	130.111	0.536	105.542	522855.226	145	0.858	-0.495	100	6102	1	6562.977	18.513	142.125	70.403	1.479	0.676	0.684
6	1028.231	165	24.402	133	133	206	7562.697	27.770	7563.454	28.266	104.727	7544.183	9.257	37.027	37.027	36.183	36.183	0	1	41.397	169658.038	164	0.004	-1.129	100	1980	1	7553.440	9.257	116.565	37.027	1	1	0.857
7	8482.902	164.354	20.017	139	133	208	8620.247	83.450	8621.661	83.137	695.679	8553.160	9.257	120.337	185.133	143.856	75.080	94.849	0.220	193.285	1394194.917	160	0.485	-0.599	100	16271.000	1	8580.930	9.257	106.699	120.125	1.916	0.522	0.534
8	1970.775	164.565	21.422	147	136	200	9165.911	50.912	9165.461	49.672	212.631	9136.330	9.257	55.540	83.310	89.144	28.148	117.588	0.548	91.168	324321.047	162	0.492	-1.118	100	3785	1	9145.587	9.257	113.962	33.183	3.167	0.316	0.754
9	342.744	154.500	15.524	155	135	173	187.448	32.398	187.440	32.698	70.877	175.877	18.513	18.513	27.770	25.307	17.244	90.000	0.857	29.272	52953.872	155	-0.111	-0.997	100	618	1	185.133	18.513	108.435	18.513	1.468	0.681	0.800
10	2227.833	167.846	17.852	141	141	194	874.043	40.943	873.909	40.894	167.936	842.357	18.513	64.797	46.283	63.321	44.796	164.961	0.993	70.497	373933.171	165	-0.189	-1.261	100	4364	1	842.357	27.770	156.801	46.283	1.414	0.707	0.881
11	2399.205	159.286	17.836	142	133	189	1019.886	50.581	1019.024	51.219	238.813	981.207	18.513	83.310	64.797	75.170	40.638	35.419	0.529	91.168	382159.015	158	0.239	-1.255	100	4460	1	981.207	64.797	23.962	52.364	1.850	0.541	0.651
12	2056.461	163.250	18.295	150	140	199	1300.176	61.325	1300.146	62.009	225.722	1277.420	18.513	46.283	74.053	70.572	37.102	105.496	0.507	82.794	335717.269	160	0.585	-0.886	100	3918	1	1277.420	18.513	116.565	46.283	1.902	0.526	0.706
13	1028.231	168.083	16.189	176	133	189	1854.419	33.170	1854.186	33.128	110.150	1832.820	18.513	46.283	27.770	45.461	28.798	9.417	1	49.849	172828.415	176	-0.817	-0.172	100	2017	1	1832.820	46.283	21.801	27.770	1.579	0.633	0.889
14	171.372	135	0	135	135	135	2559.468	27.770	2559.468	27.770	44.695	2554.840	18.513	9.257	18.513	20.890	10.445	90	1	20.699	23135.187	135	NaN	NaN	100	270	1	2554.840	18.513	116.565	9.257	2	0.500	1
15	3170.377	166.297	21.971	172	138	207	3097.606	60.919	3097.322	59.803	262.748	3054.700	18.513	83.310	83.310	88.863	45.426	123.116	0.577	100.126	527225.206	161	0.444	-1.143	100	6153	1	3054.700	46.283	146.310	65.067	1.956	0.511	0.718
16	342.744	137	4.619	133	133	141	3605.472	25.456	3605.472	25.523	65.455	3591.587	18.513	27.770	18.513	25.307	17.244	0	1	29.272	46955.861	141	0	-2	100	548	1	3591.587	18.513	161.565	18.513	1.468	0.681	0.800
17	342.744	149	9.238	141	141	157	4308.978	25.456	4308.978	25.580	65.455	4295.093	18.513	27.770	18.513	25.307	17.244	0	1	29.272	51068.783	157	0	-2	100	596	1	4295.093	18.513	161.565	18.513	1.468	0.681	0.800
18	171.372	145	0	145	145	145	4336.748	27.770	4336.748	27.770	44.695	4332.120	18.513	9.257	18.513	20.890	10.445	90	1	20.699	24848.905	145	NaN	NaN	100	290	1	4332.120	18.513	116.565	9.257	2	0.500	1
19	3941.550	173.978	21.077	174	133	208	4763.964	51.918	4763.286	51.692	311.936	4711.643	18.513	111.080	64.797	102.539	48.943	2.853	0.509	117.089	685744.080	178	-0.477	-0.816	100	8003	1	4711.643	64.797	18.435	64.797	2.095	0.477	0.676
20	3170.377	167.784	14.597	166	137	192	5725.499	58.917	5724.710	59.493	281.262	5674.337	18.513	83.310	74.053	77.770	51.905	0.830	0.504	95.303	531937.929	168	-0.154	-0.534	100	6208	1	5674.337	46.283	150.945	73.800	1.498	0.667	0.705
21	3855.865	167.089	20.472	166	133	200	6166.483	46.386	6165.628	46.589	279.016	6100.143	18.513	120.337	46.283	118.849	41.308	6.212	0.622	121.752	644272.115	167	-0.305	-1.271	100	7519.000	1	6100.143	55.540	8.746	46.283	2.877	0.348	0.857
22	12253.081	168.098	16.285	162	133	204	6228.669	176.362	6228.305	176.526	961.603	6164.940	18.513	129.593	305.470	222.995	69.962	79.434	0.167	310.478	2059717.130	166	-0.127	-0.785	100	24038	1	6220.480	323.983	79.695	123.078	3.187	0.314	0.443
23	1885.089	177.545	19.500	195	137	201	7242.921	47.125	7243.209	47.189	154.845	7220.200	18.513	46.283	55.540	57.913	41.444	68.629	0.988	62.096	334689.039	187	-0.358	-1.169	100	3906.000	1	7229.457	74.053	63.435	46.283	1.397	0.716	0.863
24	7797.415	158.615	18.168	145	133	192	8716.372	139.104	8716.448	137.871	735.882	8654.983	18.513	129.593	231.417	186.866	53.129	71.983	0.181	242.976	1236789.960	156	0.327	-1.186	100	14434	1	8673.497	249.930	72.255	107.670	3.517	0.284	0.412
25	1199.602	151	9.332	149	141	170	60.168	52.895	60.203	52.584	134.085	46.283	27.770	27.770	55.540	54.575	27.987	80.156	0.838	58.544	181139.946	149	1.279	0.181	100	2114	1	55.540	83.310	71.565	27.770	1.950	0.513	0.875
26	514.115	149	2.366	147	147	152	274.614	43.198	274.583	43.218	78.545	259.187	27.770	27.770	27.770	29.070	22.518	135.000	1	33.375	76603.175	148	0.595	-1.500	100	894	1	268.443	27.770	123.690	26.182	1.291	0.775	0.800
27	428.429	162	12.903	172	141	172	323.058	43.506	322.863	43.415	70.877	314.727	27.770	18.513	27.770	29.106	18.742	108.435	1	33.375	69405.561	166	-0.940	-0.578	100	810	1	314.727	27.770	123.690	18.513	1.553	0.644	0.909
28	1713.718	171.350	22.511	145	142	212	380.449	52.300	380.656	52.694	149.422	351.753	27.770	55.540	46.283	58.286	37.436	31.346	0.965	62.096	293645.503	172	0.215	-1.142	100	3427	1	351.753	64.797	26.565	43.704	1.557	0.642	0.833
29	2313.519	167.481	20.854	147	146	204	926.867	74.225	926.318	74.350	270.417	888.640	27.770	74.053	92.567	97.426	30.235	54.004	0.398	107.950	387471.539	158	0.488	-1.373	100	4522	1	907.153	120.337	59.036	46.225	3.222	0.310	0.587
30	1799.403	168.524	16.978	184	136	184	1789.402	68.984	1790.367	70.029	207.208	1758.767	27.770	64.797	64.797	75.406	30.383	133.325	0.527	91.636	303242.321	176	-0.675	-0.980	100	3539	1	1758.767	27.770	135	43.932	2.482	0.403	0.712
31	428.429	154.600	11.524	153	137	165	2418.767	37.952	2418.595	37.847	65.455	2406.733	27.770	27.770	18.513	29.106	18.742	161.565	1	33.375	66235.184	153	-0.586	-0.885	100	773	1	2406.733	27.770	146.310	18.513	1.553	0.644	0.909
32	1456.660	167.412	21.861	159	134	206	3156.796	46.556	3156.780	45.994	141.754	3138.010	27.770	46.283	46.283	47.309	39.204	45.000	0.911	53.975	243862.008	162	0.555	-0.587	100	2846	1	3138.010	64.797	30.964	45.818	1.207	0.829	0.872
33	599.801	147.143	9.371	144	137	167	3651.755	41.655	3651.809	41.619	78.545	3637.870	27.770	27.770	27.770	34.916	21.872	135.000	1	39.273	88256.454	144	1.464	1.195	100	1030	1	3637.870	27.770	135	26.182	1.596	0.626	0.875
34	856.859	146.400	11.983	133	133	167	4367.295	51.837	4367.243	52.296	123.241	4350.633	27.770	37.027	46.283	43.862	24.873	57.181	0.709	53.975	125444.125	149	0.149	-1.181	100	1464	1	4359.890	74.053	59.036	32.209	1.763	0.567	0.714
35	514.115	149.667	19.480	134	134	174	4429.315	43.198	4429.171	43.459	78.545	4415.430	27.770	27.770	27.770	34.412	19.022	36.870	1	39.273	76945.918	147	0.532	-1.553	100	898	1	4415.430	55.540	45	24.852	1.809	0.553	0.800
36	171.372	155	0	155	155	155	6521.322	37.027	6521.322	37.027	44.695	6516.693	27.770	9.257	18.513	20.890	10.445	90	1	20.699	26562.622	155	NaN	NaN	100	310	1	6516.693	27.770	116.565	9.257	2	0.500	1
37	7711.729	170.444	27.290	152	133	234	6694.113	99.766	6693.319	100.265	527.743	6618.517	27.770	157.363	138.850	147.575	66.535	42.416	0.348	182.570	1314421.365	162	0.512	-0.984	100	15340.000	1	6618.517	148.107	30.466	88.046	2.218	0.451	0.612
38	2056.461	160.958	13.518	175	140	175	7156.560	47.055	7155.663	47.217	194.118	7118.377	27.770	74.053	46.283	69.367	37.746	176.528	0.686	76.332	331004.546	166	-0.424	-1.377	100	3863	1	7118.377	37.027	165.964	46.283	1.838	0.544	0.762
39	9511.132	161.748	18.472	140	133	202	7466.252	124.298	7466.567	122.126	748.042	7405.333	27.770	120.337	212.903	168.257	71.973	74.399	0.214	228.623	1538404.250	160	0.289	-1.046	100	17954	1	7433.103	240.673	68.629	109.594	2.338	0.428	0.529
40	2999.006	162.171	15.192	179	136	190	7875.175	87.409	7875.364	88.092	304.267	7849.653	27.770	55.540	111.080	109.624	34.832	93.278	0.407	114.499	486353.042	163	-0.044	-0.997	100	5676	1	7868.167	27.770	104.036	52.870	3.147	0.318	0.614
41	3427.435	160.875	22.650	137	133	207	7951.014	62.483	7949.448	62.830	231.144	7914.450	27.770	74.053	64.797	81.943	53.256	16.987	0.806	87.327	551388.624	158	0.490	-0.996	100	6435	1	7914.450	83.310	32.005	59.961	1.539	0.650	0.833
42	428.429	153.800	12.215	165	139	165	8300.453	37.952	8300.540	38.092	70.877	8284.717	27.770	27.770	18.513	29.106	18.742	18.435	1	33.375	65892.440	157	-0.254	-1.692	100	769	1	8284.717	46.283	33.690	18.513	1.553	0.644	0.909
43	342.744	139.500	5.260	144	134	144	9388.574	41.655	9388.500	41.622	70.877	9377.003	27.770	18.513	27.770	25.307	17.244	90.000	0.857	29.272	47812.720	144	-0.071	-1.905	100	558	1	9386.260	27.770	108.435	18.513	1.468	0.681	0.800
44	2656.262	155.581	18.112	143	133	189	1146.483	62.557	1146.386	62.312	204.962	1110.800	37.027	74.053	46.283	77.309	43.747	174.428	0.795	79.629	413262.989	154	0.418	-1.198	100	4823	1	1120.057	37.027	144.462	46.283	1.767	0.566	0.861
45	599.801	149.857	4.220	146	146	155	1627.190	50.912	1627.281	50.982	83.968	1610.660	37.027	27.770	27.770	28.570	26.730	90.000	1	33.375	89884.486	147	0.280	-1.857	100	1049	1	1619.917	37.027	123.690	27.770	1.069	0.936	0.875
