 	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	%Area	RawIntDen	Slice	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	2227.833	187.038	24.455	157	153	226	153.091	29.550	153.262	29.383	167.936	120.337	9.257	64.797	46.283	63.361	44.768	176.661	0.993	67.390	416690.424	192	-0.048	-1.312	100	4863	1	120.337	18.513	164.055	46.283	1.415	0.707	0.881
2	342.744	156	8.083	149	149	163	472.090	18.513	472.090	18.721	52.364	462.833	9.257	18.513	18.513	20.890	20.890	0	1	26.182	53467.988	163	0	-2	100	624	1	462.833	9.257	135	18.513	1	1.000	1
3	171.372	150	0	150	150	150	1930.015	18.513	1930.015	18.513	44.695	1925.387	9.257	9.257	18.513	20.890	10.445	90	1	20.699	25705.763	150	NaN	NaN	100	300	1	1925.387	9.257	116.565	9.257	2	0.500	1
4	1456.660	159.588	5.304	159	152	169	2336.764	45.467	2336.732	45.142	178.781	2323.423	9.257	27.770	74.053	74.338	24.949	97.611	0.573	76.332	232465.786	159	0.341	-0.791	100	2713	1	2323.423	9.257	104.036	27.770	2.980	0.336	0.791
5	171.372	156	0	156	156	156	3198.178	18.513	3198.178	18.513	44.695	3193.550	9.257	9.257	18.513	20.890	10.445	90	1	20.699	26733.994	156	NaN	NaN	100	312	1	3193.550	9.257	116.565	9.257	2	0.500	1
6	942.545	160.818	11.303	152	149	176	3784.714	27.349	3784.823	27.124	104.727	3767.463	9.257	37.027	37.027	36.968	32.463	71.565	1	41.397	151578.318	159	0.412	-1.511	100	1769	1	3776.720	9.257	116.565	37.027	1.139	0.878	0.815
7	856.859	167.600	9.663	171	154	181	5030.998	18.513	5031.109	18.519	107.904	5007.857	9.257	46.283	18.513	52.225	20.890	0	0.925	49.849	143609.531	171	0.002	-1.244	100	1676	1	5007.857	9.257	158.199	18.513	2.500	0.400	1
8	599.801	164.286	6.473	156	156	171	9051.036	23.142	9051.064	23.343	83.968	9034.507	9.257	27.770	27.770	28.570	26.730	90.000	1	33.375	98538.759	168	-0.405	-1.588	100	1150	1	9043.763	9.257	123.690	27.770	1.069	0.936	0.875
9	514.115	155.167	6.369	150	150	163	23.142	30.856	23.221	30.907	78.545	9.257	18.513	27.770	27.770	34.412	19.022	36.870	1	39.273	79773.552	155	0.464	-1.590	100	931	1	9.257	46.283	45	24.852	1.809	0.553	0.800
10	514.115	153.500	3.834	150	150	157	1050.632	30.856	1050.491	30.961	78.545	1036.747	18.513	27.770	27.770	34.412	19.022	36.870	1	39.273	78916.693	157	0	-2	100	921	1	1036.747	46.283	45	24.852	1.809	0.553	0.800
11	171.372	156	0	156	156	156	2550.212	27.770	2550.212	27.770	44.695	2545.583	18.513	9.257	18.513	20.890	10.445	90	1	20.699	26733.994	156	NaN	NaN	100	312	1	2545.583	18.513	116.565	9.257	2	0.500	1
12	171.372	151	0	151	151	151	4271.952	27.770	4271.952	27.770	44.695	4267.323	18.513	9.257	18.513	20.890	10.445	90	1	20.699	25877.135	151	NaN	NaN	100	302	1	4267.323	18.513	116.565	9.257	2	0.500	1
13	685.487	153.875	4.643	149	149	160	6987.626	33.555	6987.719	33.564	115.572	6961.013	18.513	46.283	27.770	49.642	17.582	27.391	0.645	53.975	105479.316	154	0.186	-1.408	100	1231	1	6961.013	46.283	30.964	24.852	2.823	0.354	0.727
14	599.801	157	5.132	154	149	163	8656.967	32.398	8656.992	32.558	78.545	8645.727	18.513	27.770	27.770	28.570	26.730	90.000	1	33.375	94168.780	157	-0.168	-1.075	100	1099	1	8645.727	18.513	123.690	27.770	1.069	0.936	0.875
