 	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	%Area	RawIntDen	Slice	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	6169.383	129	0	129	129	129	12524.270	111.080	12524.270	111.080	268.171	12496.500	55.540	55.540	111.080	125.340	62.670	90	1	124.191	795850.433	129	NaN	NaN	100	258	1	12496.500	55.540	116.565	55.540	2	0.500	1
2	9254.075	129	0	129	129	129	16208.423	268.443	16208.423	268.443	314.182	16162.140	222.160	111.080	111.080	131.332	89.717	45.000	1	157.091	1193775.649	129	NaN	NaN	100	387	1	16162.140	333.240	45	111.080	1.464	0.683	0.857
3	9254.075	132	0	132	132	132	11302.390	416.550	11302.390	416.550	379.251	11274.620	333.240	55.540	166.620	188.011	62.670	90	0.809	175.633	1221537.874	132	NaN	NaN	100	396	1	11274.620	333.240	108.435	55.540	3	0.333	1
4	3084.692	132	0	132	132	132	18244.890	527.630	18244.890	527.630	157.091	18217.120	499.860	55.540	55.540	62.670	62.670	0	1	78.545	407179.291	132	NaN	NaN	100	132	1	18217.120	499.860	135	55.540	1	1.000	1
5	27762.224	150.556	12.991	134	134	168	14542.223	842.357	14542.114	842.958	628.363	14440.400	722.020	222.160	222.160	260.166	135.867	45.000	0.884	277.700	4179757.118	150	0.019	-1.247	100	1355	1	14440.400	944.180	36.870	157.091	1.915	0.522	0.783
6	3084.692	130	0	130	130	130	23021.330	749.790	23021.330	749.790	157.091	22993.560	722.020	55.540	55.540	62.670	62.670	0	1	78.545	401009.908	130	NaN	NaN	100	130	1	22993.560	722.020	135	55.540	1	1.000	1
7	15423.458	130.600	0.548	131	130	131	23598.946	927.518	23598.929	927.382	425.262	23548.960	833.100	111.080	166.620	174.634	112.451	108.435	1	200.252	2014303.615	131	-0.408	-1.833	100	653	1	23548.960	833.100	123.690	111.080	1.553	0.644	0.909
8	12338.766	134	4.619	130	130	138	6053.860	999.720	6053.031	999.720	314.182	5998.320	944.180	111.080	111.080	125.340	125.340	0	1	157.091	1653394.698	138	0	-2	100	536	1	5998.320	944.180	135	111.080	1	1	1
9	3084.692	130	0	130	130	130	10635.910	1027.490	10635.910	1027.490	157.091	10608.140	999.720	55.540	55.540	62.670	62.670	0	1	78.545	401009.908	130	NaN	NaN	100	130	1	10608.140	999.720	135	55.540	1	1.000	1
10	3084.692	130	0	130	130	130	20244.330	1305.190	20244.330	1305.190	157.091	20216.560	1277.420	55.540	55.540	62.670	62.670	0	1	78.545	401009.908	130	NaN	NaN	100	130	1	20216.560	1277.420	135	55.540	1	1.000	1
