 	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	%Area	RawIntDen	Slice	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	6169.383	110	0	110	110	110	3304.630	111.080	3304.630	111.080	268.171	3276.860	55.540	55.540	111.080	125.340	62.670	90	1	124.191	678632.152	110	NaN	NaN	100	220	1	3276.860	55.540	116.565	55.540	2	0.500	1
2	3084.692	110	0	110	110	110	16300.990	83.310	16300.990	83.310	157.091	16273.220	55.540	55.540	55.540	62.670	62.670	0	1	78.545	339316.076	110	NaN	NaN	100	110	1	16273.220	55.540	135	55.540	1	1.000	1
3	3084.692	110	0	110	110	110	30352.610	83.310	30352.610	83.310	157.091	30324.840	55.540	55.540	55.540	62.670	62.670	0	1	78.545	339316.076	110	NaN	NaN	100	110	1	30324.840	55.540	135	55.540	1	1.000	1
4	6169.383	111	0	111	111	111	37683.890	111.080	37683.890	111.080	268.171	37656.120	55.540	55.540	111.080	125.340	62.670	90	1	124.191	684801.535	111	NaN	NaN	100	222	1	37656.120	55.540	116.565	55.540	2	0.500	1
5	24677.533	109	0	109	109	109	1902.245	208.275	1902.245	208.275	628.363	1777.280	111.080	222.160	222.160	266.704	117.810	45.000	0.785	314.182	2689851.075	109	NaN	NaN	100	872	1	1777.280	333.240	45	157.091	2.264	0.442	0.727
6	3084.692	115	0	115	115	115	3748.950	138.850	3748.950	138.850	157.091	3721.180	111.080	55.540	55.540	62.670	62.670	0	1	78.545	354739.534	115	NaN	NaN	100	115	1	3721.180	111.080	135	55.540	1	1.000	1
7	9254.075	111.333	1.155	112	110	112	8025.530	194.390	8025.530	194.057	379.251	7997.760	111.080	55.540	166.620	188.011	62.670	90	0.809	175.633	1030286.994	112	-0.707	-1.500	100	334	1	7997.760	111.080	108.435	55.540	3	0.333	1
8	3084.692	112	0	112	112	112	9802.810	138.850	9802.810	138.850	157.091	9775.040	111.080	55.540	55.540	62.670	62.670	0	1	78.545	345485.459	112	NaN	NaN	100	112	1	9775.040	111.080	135	55.540	1	1.000	1
9	15423.458	116.400	3.286	114	114	120	12013.302	161.066	12012.958	160.608	392.727	11941.100	111.080	166.620	111.080	174.634	112.451	18.435	1	200.252	1795290.511	114	0.408	-1.833	100	582	1	11941.100	222.160	33.690	111.080	1.553	0.644	0.909
10	3084.692	112	0	112	112	112	23798.890	138.850	23798.890	138.850	157.091	23771.120	111.080	55.540	55.540	62.670	62.670	0	1	78.545	345485.459	112	NaN	NaN	100	112	1	23771.120	111.080	135	55.540	1	1.000	1
11	12338.766	109	0	109	109	109	27936.620	166.620	27936.620	166.620	314.182	27881.080	111.080	111.080	111.080	125.340	125.340	0	1	157.091	1344925.538	109	NaN	NaN	100	436	1	27881.080	111.080	135	111.080	1	1	1
12	6169.383	116	0	116	116	116	34434.800	138.850	34434.800	138.850	235.636	34379.260	111.080	111.080	55.540	125.340	62.670	0	1	124.191	715648.451	116	NaN	NaN	100	232	1	34379.260	111.080	153.435	55.540	2	0.500	1
13	3084.692	110	0	110	110	110	36517.550	138.850	36517.550	138.850	157.091	36489.780	111.080	55.540	55.540	62.670	62.670	0	1	78.545	339316.076	110	NaN	NaN	100	110	1	36489.780	111.080	135	55.540	1	1.000	1
14	3084.692	109	0	109	109	109	2971.390	194.390	2971.390	194.390	157.091	2943.620	166.620	55.540	55.540	62.670	62.670	0	1	78.545	336231.384	109	NaN	NaN	100	109	1	2943.620	166.620	135	55.540	1	1.000	1
15	33931.608	110.545	2.252	109	109	114	7141.939	280.225	7142.097	279.481	693.433	7053.580	166.620	166.620	222.160	247.600	174.487	86.028	0.887	277.700	3750984.986	109	0.929	-1.027	100	1216	1	7053.580	166.620	126.870	166.620	1.419	0.705	0.917
16	3084.692	110	0	110	110	110	14134.930	194.390	14134.930	194.390	157.091	14107.160	166.620	55.540	55.540	62.670	62.670	0	1	78.545	339316.076	110	NaN	NaN	100	110	1	14107.160	166.620	135	55.540	1	1.000	1
17	3084.692	119	0	119	119	119	14412.630	194.390	14412.630	194.390	157.091	14384.860	166.620	55.540	55.540	62.670	62.670	0	1	78.545	367078.300	119	NaN	NaN	100	119	1	14384.860	166.620	135	55.540	1	1.000	1
18	6169.383	112	1.414	111	111	113	24659.760	222.160	24659.512	221.912	314.182	24604.220	166.620	111.080	111.080	144.162	54.488	135.000	0.785	157.091	690970.918	113	0	-2	100	224	1	24604.220	166.620	135	78.545	2.646	0.378	0.667
19	6169.383	110	0	110	110	110	26742.510	222.160	26742.510	222.160	268.171	26714.740	166.620	55.540	111.080	125.340	62.670	90	1	124.191	678632.152	110	NaN	NaN	100	220	1	26714.740	166.620	116.565	55.540	2	0.500	1
20	12338.766	125.500	0.577	125	125	126	8886.400	277.700	8886.289	277.700	314.182	8830.860	222.160	111.080	111.080	125.340	125.340	0	1	157.091	1548515.183	126	0	-2	100	502	1	8830.860	222.160	135	111.080	1	1	1
21	3084.692	109	0	109	109	109	20799.730	249.930	20799.730	249.930	157.091	20771.960	222.160	55.540	55.540	62.670	62.670	0	1	78.545	336231.384	109	NaN	NaN	100	109	1	20771.960	222.160	135	55.540	1	1.000	1
22	9254.075	108	0	108	108	108	3360.170	305.470	3360.170	305.470	346.716	3276.860	277.700	166.620	55.540	188.011	62.670	0	0.967	175.633	999440.078	108	NaN	NaN	100	324	1	3276.860	277.700	161.565	55.540	3	0.333	1
23	9254.075	109	1	108	108	110	4137.730	305.470	4138.070	305.470	346.716	4054.420	277.700	166.620	55.540	188.011	62.670	0	0.967	175.633	1008694.153	109	0	-1.500	100	327	1	4054.420	277.700	161.565	55.540	3	0.333	1
24	3084.692	108	0	108	108	108	4304.350	305.470	4304.350	305.470	157.091	4276.580	277.700	55.540	55.540	62.670	62.670	0	1	78.545	333146.693	108	NaN	NaN	100	108	1	4276.580	277.700	135	55.540	1	1.000	1
25	9254.075	117	4.583	112	112	121	15245.730	361.010	15245.730	361.959	379.251	15217.960	277.700	55.540	166.620	188.011	62.670	90	0.809	175.633	1082726.752	118	-0.382	-1.500	100	351	1	15217.960	277.700	108.435	55.540	3	0.333	1
26	3084.692	118	0	118	118	118	25020.770	305.470	25020.770	305.470	157.091	24993	277.700	55.540	55.540	62.670	62.670	0	1	78.545	363993.609	118	NaN	NaN	100	118	1	24993	277.700	135	55.540	1	1.000	1
27	3084.692	132	0	132	132	132	30796.930	305.470	30796.930	305.470	157.091	30769.160	277.700	55.540	55.540	62.670	62.670	0	1	78.545	407179.291	132	NaN	NaN	100	132	1	30769.160	277.700	135	55.540	1	1.000	1
28	3084.692	110	0	110	110	110	8025.530	361.010	8025.530	361.010	157.091	7997.760	333.240	55.540	55.540	62.670	62.670	0	1	78.545	339316.076	110	NaN	NaN	100	110	1	7997.760	333.240	135	55.540	1	1.000	1
29	21592.841	113.143	1.069	114	112	114	19823.813	432.419	19823.853	432.399	549.818	19716.700	333.240	222.160	166.620	214.134	128.391	149.036	0.898	248.382	2443075.747	114	-0.289	-1.917	100	792	1	19716.700	388.780	153.435	157.091	1.668	0.600	0.778
30	3084.692	115	0	115	115	115	27464.530	361.010	27464.530	361.010	157.091	27436.760	333.240	55.540	55.540	62.670	62.670	0	1	78.545	354739.534	115	NaN	NaN	100	115	1	27436.760	333.240	135	55.540	1	1.000	1
31	9254.075	119.333	0.577	119	119	120	31167.197	398.037	31167.248	398.088	314.182	31102.400	333.240	111.080	111.080	131.332	89.717	45.000	1	157.091	1104319.593	119	0.707	-1.500	100	358	1	31102.400	444.320	45	111.080	1.464	0.683	0.857
32	6169.383	113	0	113	113	113	1055.260	416.550	1055.260	416.550	235.636	999.720	388.780	111.080	55.540	125.340	62.670	0	1	124.191	697140.302	113	NaN	NaN	100	226	1	999.720	388.780	153.435	55.540	2	0.500	1
33	3084.692	118	0	118	118	118	5637.310	416.550	5637.310	416.550	157.091	5609.540	388.780	55.540	55.540	62.670	62.670	0	1	78.545	363993.609	118	NaN	NaN	100	118	1	5609.540	388.780	135	55.540	1	1.000	1
34	6169.383	114.500	9.192	108	108	121	9469.570	444.320	9469.570	445.896	268.171	9441.800	388.780	55.540	111.080	125.340	62.670	90	1	124.191	706394.376	121	0	-2	100	229	1	9441.800	388.780	116.565	55.540	2	0.500	1
35	9254.075	111	0	111	111	111	9932.403	435.063	9932.403	435.063	314.182	9886.120	388.780	111.080	111.080	131.332	89.717	45.000	1	157.091	1027202.303	111	NaN	NaN	100	333	1	9886.120	499.860	45	111.080	1.464	0.683	0.857
36	6169.383	119.500	0.707	119	119	120	11135.770	444.320	11135.770	444.204	268.171	11108	388.780	55.540	111.080	125.340	62.670	90	1	124.191	737241.292	120	0	-2	100	239	1	11108	388.780	116.565	55.540	2	0.500	1
37	24677.533	110.375	1.847	110	108	113	12100.778	576.228	12100.141	576.691	804.513	11996.640	388.780	166.620	333.240	292.281	107.501	67.263	0.479	372.574	2723782.683	110	-0.007	-1.244	100	883	1	11996.640	722.020	63.435	166.620	2.719	0.368	0.615
38	3084.692	112	0	112	112	112	13190.750	416.550	13190.750	416.550	157.091	13162.980	388.780	55.540	55.540	62.670	62.670	0	1	78.545	345485.459	112	NaN	NaN	100	112	1	13162.980	388.780	135	55.540	1	1.000	1
39	3084.692	114	0	114	114	114	16523.150	416.550	16523.150	416.550	157.091	16495.380	388.780	55.540	55.540	62.670	62.670	0	1	78.545	351654.842	114	NaN	NaN	100	114	1	16495.380	388.780	135	55.540	1	1.000	1
40	3084.692	118	0	118	118	118	19133.530	416.550	19133.530	416.550	157.091	19105.760	388.780	55.540	55.540	62.670	62.670	0	1	78.545	363993.609	118	NaN	NaN	100	118	1	19105.760	388.780	135	55.540	1	1.000	1
41	9254.075	108	0	108	108	108	20429.463	435.063	20429.463	435.063	314.182	20383.180	388.780	111.080	111.080	131.332	89.717	45.000	1	157.091	999440.078	108	NaN	NaN	100	324	1	20383.180	499.860	45	111.080	1.464	0.683	0.857
42	6169.383	115	8.485	109	109	121	24021.050	444.320	24021.050	442.871	268.171	23993.280	388.780	55.540	111.080	125.340	62.670	90	1	124.191	709479.068	121	0	-2	100	230	1	23993.280	388.780	116.565	55.540	2	0.500	1
43	6169.383	114.500	2.121	113	113	116	34046.020	416.550	34046.384	416.550	235.636	33990.480	388.780	111.080	55.540	125.340	62.670	0	1	124.191	706394.376	116	0	-2	100	229	1	33990.480	388.780	153.435	55.540	2	0.500	1
44	9254.075	112.667	0.577	113	112	113	36202.823	453.577	36202.878	453.686	314.182	36156.540	388.780	111.080	111.080	131.332	89.717	135.000	1	157.091	1042625.761	113	-0.707	-1.500	100	338	1	36156.540	388.780	135	111.080	1.464	0.683	0.857
45	3084.692	110	0	110	110	110	39905.490	416.550	39905.490	416.550	157.091	39877.720	388.780	55.540	55.540	62.670	62.670	0	1	78.545	339316.076	110	NaN	NaN	100	110	1	39877.720	388.780	135	55.540	1	1.000	1
46	9254.075	116.667	3.786	114	114	121	2619.637	490.603	2620.060	490.339	314.182	2554.840	444.320	111.080	111.080	131.332	89.717	135.000	1	157.091	1079642.060	115	0.652	-1.500	100	350	1	2554.840	444.320	135	111.080	1.464	0.683	0.857
47	9254.075	111.333	1.528	110	110	113	14671.817	527.630	14671.872	527.297	425.262	14607.020	444.320	111.080	166.620	178.429	66.035	61.845	0.643	200.252	1030286.994	111	0.382	-1.500	100	334	1	14607.020	610.940	56.310	99.409	2.702	0.370	0.667
48	9254.075	112.333	4.041	110	110	117	22799.170	472.090	22798.016	472.090	346.716	22715.860	444.320	166.620	55.540	188.011	62.670	0	0.967	175.633	1039541.069	110	0.707	-1.500	100	337	1	22715.860	444.320	161.565	55.540	3	0.333	1
49	3084.692	108	0	108	108	108	35739.990	472.090	35739.990	472.090	157.091	35712.220	444.320	55.540	55.540	62.670	62.670	0	1	78.545	333146.693	108	NaN	NaN	100	108	1	35712.220	444.320	135	55.540	1	1.000	1
50	9254.075	109.333	1.155	110	108	110	10136.050	527.630	10135.711	527.630	346.716	10052.740	499.860	166.620	55.540	188.011	62.670	0	0.967	175.633	1011778.845	110	-0.707	-1.500	100	328	1	10052.740	499.860	161.565	55.540	3	0.333	1
51	21592.841	116.857	4.180	119	108	119	17086.484	599.039	17086.154	600.076	503.807	16995.240	499.860	166.620	166.620	194.762	141.161	30.473	1	235.636	2523277.729	119	-1.607	0.993	100	818	1	16995.240	666.480	45	166.620	1.380	0.725	0.875
52	27762.224	110.778	3.232	109	108	116	2817.112	669.566	2816.301	668.179	739.443	2721.460	555.400	222.160	222.160	264.936	133.421	124.193	0.638	314.182	3075437.525	109	0.730	-1.288	100	997	1	2721.460	555.400	135	174.037	1.986	0.504	0.720
53	6169.383	109	0	109	109	109	13051.900	583.170	13051.900	583.170	235.636	12996.360	555.400	111.080	55.540	125.340	62.670	0	1	124.191	672462.769	109	NaN	NaN	100	218	1	12996.360	555.400	153.435	55.540	2	0.500	1
54	15423.458	109.200	1.643	108	108	111	14945.814	649.818	14945.753	649.696	425.262	14884.720	555.400	111.080	166.620	174.634	112.451	71.565	1	200.252	1684241.614	108	0.408	-1.833	100	546	1	14884.720	722.020	56.310	111.080	1.553	0.644	0.909
55	3084.692	112	0	112	112	112	17522.870	583.170	17522.870	583.170	157.091	17495.100	555.400	55.540	55.540	62.670	62.670	0	1	78.545	345485.459	112	NaN	NaN	100	112	1	17495.100	555.400	135	55.540	1	1.000	1
56	6169.383	111	0	111	111	111	36267.620	583.170	36267.620	583.170	235.636	36212.080	555.400	111.080	55.540	125.340	62.670	0	1	124.191	684801.535	111	NaN	NaN	100	222	1	36212.080	555.400	153.435	55.540	2	0.500	1
57	12338.766	112	2	111	111	115	5331.840	666.480	5332.088	666.232	314.182	5276.300	610.940	111.080	111.080	125.340	125.340	0	1	157.091	1381941.837	111	1.155	-0.667	100	448	1	5276.300	610.940	135	111.080	1	1	1
58	3084.692	117	0	117	117	117	26686.970	638.710	26686.970	638.710	157.091	26659.200	610.940	55.540	55.540	62.670	62.670	0	1	78.545	360908.917	117	NaN	NaN	100	117	1	26659.200	610.940	135	55.540	1	1.000	1
59	6169.383	112	5.657	108	108	116	27936.620	638.710	27937.612	638.710	235.636	27881.080	610.940	111.080	55.540	125.340	62.670	0	1	124.191	690970.918	116	0	-2	100	224	1	27881.080	610.940	153.435	55.540	2	0.500	1
60	15423.458	111.400	4.278	108	108	117	29241.810	694.250	29241.212	694.150	471.273	29158.500	610.940	166.620	166.620	207.293	94.734	31.717	0.873	235.636	1718173.221	109	0.464	-1.645	100	557	1	29158.500	777.560	45	124.332	2.188	0.457	0.714
61	18508.150	123.500	3.987	127	118	127	29806.467	675.737	29805.605	675.437	503.807	29713.900	610.940	166.620	166.620	162.742	144.801	116.565	0.916	200.252	2285756.476	127	-0.238	-1.630	100	741	1	29713.900	610.940	123.690	166.620	1.124	0.890	0.800
62	3084.692	108	0	108	108	108	305.470	694.250	305.470	694.250	157.091	277.700	666.480	55.540	55.540	62.670	62.670	0	1	78.545	333146.693	108	NaN	NaN	100	108	1	277.700	666.480	135	55.540	1	1.000	1
63	3084.692	114	0	114	114	114	9636.190	694.250	9636.190	694.250	157.091	9608.420	666.480	55.540	55.540	62.670	62.670	0	1	78.545	351654.842	114	NaN	NaN	100	114	1	9608.420	666.480	135	55.540	1	1.000	1
64	3084.692	111	0	111	111	111	14523.710	694.250	14523.710	694.250	157.091	14495.940	666.480	55.540	55.540	62.670	62.670	0	1	78.545	342400.768	111	NaN	NaN	100	111	1	14495.940	666.480	135	55.540	1	1.000	1
65	3084.692	108	0	108	108	108	15690.050	694.250	15690.050	694.250	157.091	15662.280	666.480	55.540	55.540	62.670	62.670	0	1	78.545	333146.693	108	NaN	NaN	100	108	1	15662.280	666.480	135	55.540	1	1.000	1
66	15423.458	113	0	113	113	113	16512.042	727.574	16512.042	727.574	392.727	16439.840	666.480	166.620	111.080	174.634	112.451	161.565	1	200.252	1742850.754	113	NaN	NaN	100	565	1	16439.840	666.480	146.310	111.080	1.553	0.644	0.909
67	6169.383	110	0	110	110	110	16745.310	722.020	16745.310	722.020	268.171	16717.540	666.480	55.540	111.080	125.340	62.670	90	1	124.191	678632.152	110	NaN	NaN	100	220	1	16717.540	666.480	116.565	55.540	2	0.500	1
68	3084.692	109	0	109	109	109	21688.370	694.250	21688.370	694.250	157.091	21660.600	666.480	55.540	55.540	62.670	62.670	0	1	78.545	336231.384	109	NaN	NaN	100	109	1	21660.600	666.480	135	55.540	1	1.000	1
69	3084.692	127	0	127	127	127	22132.690	694.250	22132.690	694.250	157.091	22104.920	666.480	55.540	55.540	62.670	62.670	0	1	78.545	391755.833	127	NaN	NaN	100	127	1	22104.920	666.480	135	55.540	1	1.000	1
70	12338.766	111.750	2.500	113	108	113	23049.100	749.790	23049.411	750.411	425.262	22993.560	666.480	111.080	166.620	178.638	87.944	121.717	0.857	200.252	1378857.145	113	-1.155	-0.667	100	447	1	22993.560	666.480	123.690	111.080	2.031	0.492	0.800
71	3084.692	111	0	111	111	111	36239.850	694.250	36239.850	694.250	157.091	36212.080	666.480	55.540	55.540	62.670	62.670	0	1	78.545	342400.768	111	NaN	NaN	100	111	1	36212.080	666.480	135	55.540	1	1.000	1
