 	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	%Area	RawIntDen	Slice	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	12338.766	106	4.619	102	102	110	3332.400	111.080	3331.352	111.080	314.182	3276.860	55.540	111.080	111.080	125.340	125.340	0	1	157.091	1307909.238	110	0	-2	100	424	1	3276.860	55.540	135	111.080	1	1	1
2	24677.533	97.500	1.690	97	95	100	6574.548	131.908	6574.227	132.513	503.807	6498.180	55.540	166.620	166.620	196.476	159.920	45.000	1	235.636	2406059.448	97	0.474	-0.650	100	780	1	6498.180	222.160	45	166.620	1.229	0.814	0.941
3	24677.533	97.500	2.777	96	96	102	17731.145	166.620	17730.077	165.338	628.363	17606.180	55.540	222.160	222.160	290.032	108.334	129.938	0.785	314.182	2406059.448	96	1.155	-0.667	100	780	1	17606.180	55.540	135	154.205	2.677	0.374	0.727
4	9254.075	100	1.732	101	98	101	18911.370	138.850	18911.370	138.295	379.251	18883.600	55.540	55.540	166.620	188.011	62.670	90	0.809	175.633	925407.480	101	-0.707	-1.500	100	300	1	18883.600	55.540	108.435	55.540	3	0.333	1
5	3084.692	102	0	102	102	102	26575.890	83.310	26575.890	83.310	157.091	26548.120	55.540	55.540	55.540	62.670	62.670	0	1	78.545	314638.543	102	NaN	NaN	100	102	1	26548.120	55.540	135	55.540	1	1.000	1
6	24677.533	104.375	5.579	109	95	109	27957.448	159.678	27956.874	159.337	614.887	27825.540	55.540	222.160	166.620	235.620	133.352	23.199	0.820	277.700	2575717.486	109	-0.609	-1.110	100	835	1	27825.540	222.160	36.870	166.620	1.767	0.566	0.842
7	6169.383	95	0	95	95	95	31491.180	83.310	31491.180	83.310	235.636	31435.640	55.540	111.080	55.540	125.340	62.670	0	1	124.191	586091.404	95	NaN	NaN	100	190	1	31435.640	55.540	153.435	55.540	2	0.500	1
8	6169.383	96.500	2.121	95	95	98	32074.350	111.080	32074.350	111.512	268.171	32046.580	55.540	55.540	111.080	125.340	62.670	90	1	124.191	595345.479	98	0	-2	100	193	1	32046.580	55.540	116.565	55.540	2	0.500	1
9	21592.841	97.429	2.637	95	95	102	33066.136	170.587	33066.089	171.425	582.353	32990.760	55.540	166.620	222.160	195.281	140.786	100.901	0.800	228.997	2103759.671	96	0.676	-0.881	100	682	1	33046.300	55.540	104.036	166.620	1.387	0.721	0.737
10	3084.692	95	0	95	95	95	34962.430	83.310	34962.430	83.310	157.091	34934.660	55.540	55.540	55.540	62.670	62.670	0	1	78.545	293045.702	95	NaN	NaN	100	95	1	34934.660	55.540	135	55.540	1	1.000	1
11	12338.766	106.750	4.924	111	102	111	37656.120	111.080	37657.226	111.015	314.182	37600.580	55.540	111.080	111.080	125.340	125.340	0	1	157.091	1317163.313	111	-0.021	-1.973	100	427	1	37600.580	55.540	135	111.080	1	1	1
12	3084.692	99	0	99	99	99	805.330	138.850	805.330	138.850	157.091	777.560	111.080	55.540	55.540	62.670	62.670	0	1	78.545	305384.468	99	NaN	NaN	100	99	1	777.560	111.080	135	55.540	1	1.000	1
13	6169.383	109	8.485	103	103	115	3776.720	138.850	3775.191	138.850	235.636	3721.180	111.080	111.080	55.540	125.340	62.670	0	1	124.191	672462.769	115	0	-2	100	218	1	3721.180	111.080	153.435	55.540	2	0.500	1
14	30846.916	97.300	3.057	95	95	104	5226.314	177.728	5225.355	177.951	771.978	5054.140	111.080	333.240	166.620	306.003	128.350	13.632	0.650	351.266	3001404.927	96	1.226	0.281	100	973	1	5054.140	222.160	18.435	166.620	2.384	0.419	0.741
15	12338.766	97.250	0.957	98	96	98	5734.505	208.275	5734.683	208.239	425.262	5665.080	111.080	111.080	166.620	177.258	88.629	71.565	0.857	200.252	1199945.032	98	-0.493	-1.372	100	389	1	5665.080	277.700	56.310	111.080	2.000	0.500	0.800
16	46270.374	108.133	4.897	109	98	114	7136.890	264.741	7137.575	264.654	817.989	6998.040	111.080	277.700	277.700	276.596	212.994	65.457	0.869	323.851	5003369.775	109	-0.831	-0.193	100	1622	1	6998.040	333.240	30.964	245.926	1.299	0.770	0.769
17	15423.458	107.800	4.919	112	102	112	8025.530	205.498	8025.633	204.694	471.273	7942.220	111.080	166.620	166.620	171.404	114.570	55.901	0.873	200.252	1662648.772	110	-0.345	-1.768	100	539	1	7942.220	277.700	33.690	149.114	1.496	0.668	0.714
18	18508.150	101.167	3.371	100	96	106	10885.840	175.877	10885.154	176.090	503.807	10774.760	111.080	222.160	111.080	206.473	114.132	0	0.916	228.997	1872407.801	102	-0.123	-0.634	100	607	1	10774.760	166.620	165.964	111.080	1.809	0.553	0.857
19	12338.766	100.500	7.141	95	95	110	14121.045	194.390	14121.805	195.357	425.262	14051.620	111.080	111.080	166.620	151.843	103.464	90.000	0.857	175.633	1240046.023	102	0.558	-1.295	100	402	1	14107.160	111.080	108.435	111.080	1.468	0.681	0.800
20	49355.066	102.438	5.762	97	96	119	14329.320	260.344	14331.133	261.519	929.069	14218.240	111.080	222.160	333.240	314.211	199.996	79.072	0.719	372.574	5055809.532	103	1.359	2.243	100	1639	1	14218.240	444.320	63.435	222.160	1.571	0.637	0.762
21	3084.692	101	0	101	101	101	18800.290	138.850	18800.290	138.850	157.091	18772.520	111.080	55.540	55.540	62.670	62.670	0	1	78.545	311553.852	101	NaN	NaN	100	101	1	18772.520	111.080	135	55.540	1	1.000	1
22	9254.075	98	0	98	98	98	20984.863	175.877	20984.863	175.877	314.182	20938.580	111.080	111.080	111.080	131.332	89.717	135.000	1	157.091	906899.330	98	NaN	NaN	100	294	1	20938.580	111.080	135	111.080	1.464	0.683	0.857
23	6169.383	95	0	95	95	95	22910.250	166.620	22910.250	166.620	268.171	22882.480	111.080	55.540	111.080	125.340	62.670	90	1	124.191	586091.404	95	NaN	NaN	100	190	1	22882.480	111.080	116.565	55.540	2	0.500	1
