 	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	%Area	RawIntDen	Slice	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	802.020	171.423	26.500	138	138	221	2549.500	28.411	2549.812	28.330	97.508	2532.624	11.108	33.324	33.324	35.736	28.575	46.919	1	40.050	137484.705	164	0.438	-1.184	100	4457	1	2532.624	38.878	33.690	31.418	1.251	0.800	0.867
2	4596.190	177.349	25.186	143	134	227	1625.253	60.814	1625.993	61.098	419.871	1571.782	16.662	122.188	72.202	101.103	57.882	161.796	0.328	123.319	815129.755	181	-0.087	-1.234	100	26425	1	1571.782	61.094	172.235	72.202	1.747	0.573	0.677
3	123.388	149.250	3.202	148	147	154	2085.527	23.604	2085.518	23.616	39.273	2077.196	16.662	16.662	11.108	15.184	10.346	0	1	17.563	18415.609	148	1.078	-0.717	100	597	1	2077.196	22.216	161.565	11.108	1.468	0.681	0.800
4	1110.489	179.361	24.649	134	134	224	2404.728	41.964	2405.054	41.235	127.579	2388.220	16.662	33.324	49.986	52.776	26.791	66.078	0.857	54.701	199178.537	186	-0.150	-0.707	100	6457	1	2393.774	66.648	66.038	31.622	1.970	0.508	0.857
5	339.316	154.636	13.930	142	135	184	3008.501	27.518	3008.457	27.448	62.836	2999.160	16.662	22.216	22.216	25.033	17.259	48.972	1	27.770	52470.604	153	0.693	-0.054	100	1701	1	2999.160	38.878	36.870	19.636	1.450	0.689	0.846
6	6385.312	176.300	25.250	188	133	217	1993.846	62.207	1994.128	62.374	446.688	1905.022	22.216	183.282	72.202	183.843	44.223	166.889	0.402	188.591	1125727.353	179	-0.136	-1.286	100	36494	1	1905.022	38.878	166.373	65.429	4.157	0.241	0.720
7	987.101	165.625	20.111	140	140	199	2311.332	42.176	2310.922	42.602	124.325	2288.248	22.216	44.432	38.878	54.186	23.194	39.326	0.803	55.540	163488.655	160	0.462	-1.317	100	5300	1	2288.248	55.540	36.870	27.491	2.336	0.428	0.842
8	6755.475	174.046	26.808	144	133	223	745.644	78.961	744.742	78.975	622.742	677.588	27.770	133.296	122.188	126.216	68.148	134.791	0.219	173.513	1175761.050	174	0.142	-1.208	100	38116	1	677.588	33.324	140.194	95.673	1.852	0.540	0.606
9	524.398	173.706	23.732	182	137	212	2606.296	39.041	2606.226	39.084	85.052	2593.718	27.770	27.770	27.770	32.040	20.839	41.304	0.911	35.563	91090.943	182	0.130	-1.178	100	2953	1	2593.718	49.986	38.660	23.564	1.538	0.650	0.872
10	1295.570	177.143	33.281	133	133	229	2870.096	53.689	2870.022	53.454	146.541	2849.202	27.770	38.878	49.986	52.198	31.602	71.168	0.758	57.182	229501.055	172	0.104	-1.495	100	7440	1	2860.310	77.756	60.945	37.450	1.652	0.605	0.848
11	277.622	158.111	16.519	169	139	180	2913.690	37.952	2913.651	37.709	58.235	2904.742	27.770	16.662	22.216	21.766	16.240	69.699	1	24.838	43895.161	169	-0.140	-1.699	100	1423	1	2910.296	49.986	63.435	16.662	1.340	0.746	0.857
12	462.704	174.867	20.336	174	143	214	398.962	44.247	399.165	43.938	77.198	383.226	33.324	27.770	22.216	28.642	20.569	148.147	0.976	32.385	80911.461	174	0.279	-0.803	100	2623	1	383.226	38.878	149.036	22.216	1.392	0.718	0.882
13	2560.294	174.253	22.865	134	134	212	532.013	63.135	531.568	63.290	251.904	494.306	33.324	83.310	61.094	71.184	45.795	175.340	0.507	84.960	446138.946	177	-0.292	-1.133	100	14463	1	494.306	38.878	168.690	58.683	1.554	0.643	0.686
14	401.010	169.846	27.120	133	133	205	1022.150	43.791	1022.464	43.486	69.343	1010.828	33.324	22.216	22.216	27.210	18.764	140.735	1	31.418	68109.991	180	-0.245	-1.507	100	2208	1	1010.828	33.324	135	22.216	1.450	0.690	0.897
15	493.551	173.125	19.660	151	146	199	1410.022	47.209	1409.850	47.025	77.198	1399.608	33.324	22.216	27.770	28.161	22.315	63.999	1	32.385	85445.957	181	-0.112	-1.625	100	2770	1	1399.608	61.094	59.036	22.216	1.262	0.792	0.889
16	462.704	169.533	14.682	158	142	186	2170.318	46.839	2170.333	46.783	73.944	2160.506	33.324	22.216	27.770	29.078	20.260	62.451	1	32.385	78443.707	164	-0.171	-1.300	100	2543	1	2160.506	61.094	59.036	22.216	1.435	0.697	0.882
17	1048.795	184.735	26.754	157	134	226	3075.446	51.783	3075.390	51.407	115.123	3060.254	33.324	33.324	38.878	41.694	32.028	73.800	0.994	44.778	193749.479	189	-0.429	-0.809	100	6281	1	3065.808	72.202	60.255	33.324	1.302	0.768	0.907
18	4164.334	169.422	23.510	158	133	220	936.548	89.913	936.581	89.653	415.501	871.978	38.878	133.296	111.080	148.385	35.733	144.040	0.303	155.611	705530.663	165	0.439	-0.859	100	22872	1	877.532	44.432	145.176	51.884	4.153	0.241	0.618
19	647.785	181.667	33.610	146	138	231	2224.906	55.143	2225.028	55.292	89.653	2210.492	38.878	27.770	33.324	32.975	25.012	65.157	1	37.257	117680.985	185	-0.043	-1.559	100	3815	1	2216.046	72.202	63.435	27.491	1.318	0.759	0.857
20	401.010	163.692	17.221	147	147	196	2354.255	50.627	2354.249	50.811	66.090	2343.788	38.878	22.216	22.216	24.328	20.987	45.000	1	27.770	65642.237	156	0.802	-0.770	100	2128	1	2343.788	61.094	36.870	22.216	1.159	0.863	0.897
21	3269.773	190.972	30.417	211	134	246	350.269	96.985	350.133	97.787	277.373	322.132	49.986	61.094	99.972	92.617	44.951	75.454	0.534	105.380	624434.121	199	-0.172	-1.031	100	20243	1	349.902	149.958	71.565	57.036	2.060	0.485	0.760
22	493.551	163.188	15.372	174	138	186	433.212	61.094	433.192	60.987	81.799	416.550	49.986	33.324	22.216	30.893	20.342	24.699	0.927	35.127	80541.298	168	-0.338	-1.264	100	2611	1	416.550	66.648	18.435	22.216	1.519	0.658	0.842
23	431.857	162.357	11.311	153	145	179	993.769	61.887	993.683	61.748	77.198	977.504	49.986	27.770	22.216	25.807	21.307	169.903	0.911	29.909	70115.040	162	0.176	-1.119	100	2273	1	977.504	61.094	158.199	22.216	1.211	0.826	0.848
24	1264.724	168.585	24.078	136	134	214	1170.743	75.385	1170.630	75.078	155.743	1144.124	49.986	49.986	55.540	68.255	23.592	132.547	0.655	67.795	213213.883	165	0.535	-0.648	100	6912	1	1149.678	49.986	124.992	27.491	2.893	0.346	0.788
25	524.398	172.118	23.062	152	138	204	2759.848	63.218	2759.672	63.038	77.198	2749.230	49.986	22.216	27.770	29.041	22.991	105.172	1	32.385	90258.076	164	0.067	-1.593	100	2926	1	2749.230	49.986	120.964	22.216	1.263	0.792	0.919
26	9068.993	173.779	26.328	150	133	229	3032.182	140.059	3031.790	140.417	711.047	2971.390	49.986	116.634	194.390	145.675	79.265	94.871	0.225	199.403	1575999.785	174	0.284	-0.910	100	51091	1	3010.268	49.986	102.875	115.857	1.838	0.544	0.599
27	1418.958	158.761	21.923	135	133	203	3192.101	69.787	3191.663	70.117	173.358	3160.226	49.986	61.094	38.878	66.693	27.089	13.142	0.593	67.109	225275.028	155	0.547	-0.836	100	7303.000	1	3160.226	83.310	24.444	34.600	2.462	0.406	0.748
28	771.173	162.280	13.075	141	134	187	286.253	77.645	286.371	77.506	121.072	266.592	55.540	38.878	44.432	55.112	17.816	48.860	0.661	55.540	125145.938	165	-0.451	-0.223	100	4057	1	272.146	99.972	53.130	23.435	3.093	0.323	0.758
