 	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	%Area	RawIntDen	Slice	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	11382.512	164.593	28.867	131	120	217	2005.664	84.672	2004.867	83.702	877.899	1905.022	16.662	188.836	161.066	169.930	85.286	149.400	0.186	212.218	1873487.443	163	0.132	-1.326	100	60735	1	1916.130	22.216	132.879	121.114	1.992	0.502	0.588
2	246.775	137.875	12.800	122	122	154	2082.750	24.993	2083.019	24.953	54.982	2071.642	16.662	22.216	16.662	19.379	16.214	0	1	22.900	34024.148	147	-0.118	-1.619	100	1103	1	2071.642	22.216	165.964	16.662	1.195	0.837	0.800
3	1203.030	175.590	27.109	134	129	224	2404.953	42.225	2405.197	41.467	130.832	2388.220	16.662	33.324	49.986	52.741	29.043	68.757	0.883	54.701	211239.681	174	-0.152	-0.895	100	6848	1	2393.774	66.648	66.038	32.301	1.816	0.551	0.886
4	339.316	154.636	13.930	142	135	184	3008.501	27.518	3008.457	27.448	62.836	2999.160	16.662	22.216	22.216	25.033	17.259	48.972	1	27.770	52470.604	153	0.693	-0.054	100	1701	1	2999.160	38.878	36.870	19.636	1.450	0.689	0.846
5	1079.642	162.200	22.328	140	121	199	2311.019	43.559	2310.687	43.660	135.433	2288.248	22.216	44.432	44.432	55.777	24.646	42.223	0.740	59.040	175117.942	155	0.254	-1.009	100	5677	1	2293.802	66.648	48.814	28.926	2.263	0.442	0.805
6	678.632	163.091	28.823	182	125	212	2606.593	39.383	2606.478	39.327	92.907	2593.718	22.216	27.770	33.324	36.969	23.373	59.237	0.988	40.050	110678.735	159	0.201	-1.216	100	3588	1	2593.718	55.540	56.310	27.331	1.582	0.632	0.880
7	277.622	158.111	16.519	169	139	180	2913.690	37.952	2913.651	37.709	58.235	2904.742	27.770	16.662	22.216	21.766	16.240	69.699	1	24.838	43895.161	169	-0.140	-1.699	100	1423	1	2910.296	49.986	63.435	16.662	1.340	0.746	0.857
8	24369.064	165.322	32.459	120	120	244	1022.730	208.008	1024.955	210.073	1937.799	871.978	33.324	316.578	322.132	316.071	98.167	136.123	0.082	410.320	4028730.617	161	0.439	-0.820	100	130604.000	1	877.532	38.878	129.508	153.819	3.220	0.311	0.501
9	740.326	157.167	28.082	130	121	199	1408.170	48.135	1408.412	47.798	96.160	1394.054	33.324	27.770	33.324	34.360	27.433	69.402	1	40.050	116354.567	153	0.119	-1.469	100	3772	1	1399.608	66.648	56.310	27.770	1.252	0.798	0.906
10	89733.679	165.886	29.670	125	120	238	3050.411	440.386	3050.172	440.995	6505.579	2704.798	33.324	672.034	766.452	419.462	272.378	111.789	0.027	785.788	14885549.479	164	0.201	-1.057	100	482562	1	3021.376	44.432	106.001	584.861	1.540	0.649	0.291
11	771.173	172.280	37.732	122	122	231	2224.599	56.095	2224.786	55.957	96.160	2210.492	38.878	27.770	33.324	33.556	29.261	79.130	1	37.257	132857.667	166	0.112	-1.508	100	4307	1	2216.046	72.202	63.435	27.770	1.147	0.872	0.909
