#Filename	thresholding	bw_noisy(%)	part_cover(%)	bw_nonoise(%)	anal_part_error	noise_cover(%)	corr_cov(%)	nanoparticles	IMJ particles (no noise)	(%)singles_ratio_equiv_nonoise	(%)doubles_ratio_equiv_nonoise	(%)mids_ratio_equiv_nonoise	(%)bigs_ratio_equiv_nonoise	protein (cluster style/fill cracks)	Coverage style	%bsa singles	%bsa doubles	%bsa mids	%bsa bigs	bsa total	Min Size Criteria Met	Diam Est (nm)	Sigma Est (nm)
f1_b2_15k11_low.tif	(95, 255)	78.1	0.11	78.1	99.87	0.0	269.49	7058	4554	52.49	18.26	5.39	23.86	hemisphere, False	Advanced	62.78	16.89	10.1	10.23	315185	False	None	None
f2_b1_15k_highres_9scan_11int1_high.tif	(103, 255)	11.34	11.19	11.34	1.45	0.0	39.42	381512	194984	20.44	43.74	21.11	14.72	hemisphere, False	Advanced	22.48	41.02	31.28	5.21	21564725	False	None	None
f1_b1_15k21_low.tif	(143, 255)	29.57	28.88	29.57	2.42	0.0	102.78	2425642	170248	1.72	4.17	5.88	88.23	hemisphere, False	Advanced	5.24	11.36	24.06	59.35	49659459	False	None	None
f1_b1_15k21_high.tif	(147, 255)	24.28	23.86	24.28	1.83	0.0	84.39	1381404	194352	3.67	9.69	11.5	75.13	hemisphere, False	Advanced	7.89	18.37	32.8	40.94	40583849	False	None	None
f2_b2_15k31_low.tif	(107, 255)	26.67	25.74	26.67	3.83	0.0	92.68	1713057	201536	3.69	7.17	8.71	80.42	hemisphere, False	Advanced	8.44	15.04	28.06	48.45	44559508	False	None	None
f1_b2_15k11_high.tif	(128, 255)	14.05	13.76	14.05	2.11	0.0	48.82	541642	264443	24.98	32.8	17.5	24.72	hemisphere, False	Advanced	28.15	33.96	28.98	8.91	27392189	False	None	None
f2_b1_15k_highres_9scan_11int1_low.tif	(96, 255)	20.31	19.91	20.31	2.03	0.0	70.57	965227	211117	7.11	15.93	14.8	62.15	hemisphere, False	Advanced	12.23	23.98	34.4	29.39	34792072	False	None	None
f2_b2_15k31_high.tif	(126, 255)	7.38	7.14	7.38	3.98	0.0	25.66	262695	127106	20.77	39.82	18.25	21.15	hemisphere, False	Advanced	24.11	39.45	28.87	7.57	13915124	False	None	None
f2_b2_30k31_high.tif	(149, 255)	5.03	4.95	5.03	1.89	0.0	25.98	784566	228685	8.51	23.1	23.07	45.31	hemisphere, False	Advanced	14.37	27.97	43.66	13.99	22021584	False	None	None
f1_b1_30k1kx1_low.tif	(133, 255)	34.42	33.19	34.42	3.74	0.0	174.38	14644474	438799	0.5	1.37	4.09	94.04	hemisphere, False	Advanced	3.1	5.73	23.16	68.01	137263572	False	None	None
