#Filename	magnification	field of view(nm)	resolution	nm/pixel	despeckle	crop	thresholding	% Surface sampled	Area Sampled	IMJ particles (no noise)	nanoparticles	noise_particles	singles	doubles_equiv	mids_equiv	bigs_equiv	doubles_actual	mids_actual	bigs_actual	(%)singles_ratio_equiv_nonoise	(%)doubles_ratio_equiv_nonoise	(%)mids_ratio_equiv_nonoise	(%)bigs_ratio_equiv_nonoise	(%)noise_ratio_equiv_wnoise	(%)singles_ratio_equiv_wnoise	(%)doubles_ratio_equiv_wnoise	(%)mids_ratio_equiv_wnoise	(%)bigs_ratio_equiv_wnoise	(%)singles_ratio_actual_nonoise	(%)doubles_ratio_actual_nonoise	(%)mids_ratio_actual_nonoise	(%)bigs_ratio_actual_nonoise	(%)noise_ratio_actual_wnoise	(%)singles_ratio_actual_wnoise	(%)doubles_ratio_actual_wnoise	(%)mids_ratio_actual_wnoise	(%)bigs_ratio_actual_wnoise	bw_noisy(%)	part_cover(%)	bw_nonoise(%)	anal_part_error	noise_cover(%)	corr_cov(%)	Min Size Criteria Met	Diam Est (nm)	Sigma Est (nm)	protein (cluster style/fill cracks)	Coverage style	bsa on singles	bsa on doubles	bsa on mids	bsa on bigs	%bsa singles	%bsa doubles	%bsa mids	%bsa bigs	bsa total
f1_b2_15k11_low.tif	15000	(18958.0, 14218.0)	(1024, 768)	18.51	True	(4, 24, 1012, 604)	(95, 255)	6.83	209501286.0	4554	7058	0	253	88.0	26	115	44	11	3	52.49	18.26	5.39	23.86	0.0	52.49	18.26	5.39	23.86	81.35	14.15	3.54	0.96	0.0	81.35	14.15	3.54	0.96	78.1	0.11	78.1	99.87	0.0	269.49	False	None	None	hemisphere, False	Advanced	13513	3636.0	2173	2201	62.78	16.89	10.1	10.23	315185
f2_b1_15k_highres_9scan_11int1_high.tif	15000	(18958.0, 14218.0)	(1024, 768)	18.51	True	(2, 2, 1020, 631)	(103, 255)	7.19	220596579.0	194984	381512	0	5606	11998.0	5790	4038	5999	2301	114	20.44	43.74	21.11	14.72	0.0	20.44	43.74	21.11	14.72	39.99	42.79	16.41	0.81	0.0	39.99	42.79	16.41	0.81	11.34	11.19	11.34	1.45	0.0	39.42	False	None	None	hemisphere, False	Advanced	348581	636078.0	485069	80847	22.48	41.02	31.28	5.21	21564725
f1_b1_15k21_low.tif	15000	(18958.0, 14218.0)	(1024, 768)	18.51	True	(1, 0, 1023, 628)	(143, 255)	7.18	220193512.0	170248	2425642	0	2994	7258.0	10237	153604	3629	3766	1830	1.72	4.17	5.88	88.23	0.0	1.72	4.17	5.88	88.23	24.5	29.7	30.82	14.98	0.0	24.5	29.7	30.82	14.98	29.57	28.88	29.57	2.42	0.0	102.78	False	None	None	hemisphere, False	Advanced	186604	404868.0	857528	2115155	5.24	11.36	24.06	59.35	49659459
f1_b1_15k21_high.tif	15000	(18958.0, 14218.0)	(1024, 768)	18.51	True	(1, 0, 1023, 628)	(147, 255)	7.18	220193512.0	194352	1381404	0	3643	9610.0	11406	74487	4805	4247	1254	3.67	9.69	11.5	75.13	0.0	3.67	9.69	11.5	75.13	26.12	34.45	30.45	8.99	0.0	26.12	34.45	30.45	8.99	24.28	23.86	24.28	1.83	0.0	84.39	False	None	None	hemisphere, False	Advanced	229758	534976.0	955521	1192526	7.89	18.37	32.8	40.94	40583849
f2_b2_15k31_low.tif	15000	(18958.0, 14218.0)	(1024, 768)	18.51	True	(20, 50, 788, 612)	(107, 255)	5.39	165290115.0	201536	1713057	0	3408	6622.0	8043	74220	3311	2987	1152	3.69	7.17	8.71	80.42	0.0	3.69	7.17	8.71	80.42	31.39	30.49	27.51	10.61	0.0	31.39	30.49	27.51	10.61	26.67	25.74	26.67	3.83	0.0	92.68	False	None	None	hemisphere, False	Advanced	202681	361166.0	673741	1163109	8.44	15.04	28.06	48.45	44559508
f1_b2_15k11_high.tif	15000	(18958.0, 14218.0)	(1024, 768)	18.51	True	(4, 24, 1012, 604)	(128, 255)	6.83	209501286.0	264443	541642	0	9240	12130.0	6472	9145	6065	2545	208	24.98	32.8	17.5	24.72	0.0	24.98	32.8	17.5	24.72	51.17	33.59	14.09	1.15	0.0	51.17	33.59	14.09	1.15	14.05	13.76	14.05	2.11	0.0	48.82	False	None	None	hemisphere, False	Advanced	526578	635176.0	542161	166610	28.15	33.96	28.98	8.91	27392189
f2_b1_15k_highres_9scan_11int1_low.tif	15000	(18958.0, 14218.0)	(1024, 768)	18.51	True	(2, 2, 1020, 631)	(96, 255)	7.19	220596579.0	211117	965227	0	4936	11058.0	10272	43137	5529	3885	830	7.11	15.93	14.8	62.15	0.0	7.11	15.93	14.8	62.15	32.52	36.42	25.59	5.47	0.0	32.52	36.42	25.59	5.47	20.31	19.91	20.31	2.03	0.0	70.57	False	None	None	hemisphere, False	Advanced	305999	599874.0	860520	735272	12.23	23.98	34.4	29.39	34792072
f2_b2_15k31_high.tif	15000	(18958.0, 14218.0)	(1024, 768)	18.51	True	(20, 50, 788, 612)	(126, 255)	5.39	165290115.0	127106	262695	0	2940	5636.0	2583	2994	2818	1015	75	20.77	39.82	18.25	21.15	0.0	20.77	39.82	18.25	21.15	42.93	41.15	14.82	1.1	0.0	42.93	41.15	14.82	1.1	7.38	7.14	7.38	3.98	0.0	25.66	False	None	None	hemisphere, False	Advanced	180770	295768.0	216402	56754	24.11	39.45	28.87	7.57	13915124
f2_b2_30k31_high.tif	30000	(9479.0, 7109.0)	(1024, 768)	9.26	True	(6, 18, 1004, 606)	(149, 255)	1.7	52133345.0	228685	784566	0	1135	3080.0	3076	6041	1540	1153	58	8.51	23.1	23.07	45.31	0.0	8.51	23.1	23.07	45.31	29.21	39.63	29.67	1.49	0.0	29.21	39.63	29.67	1.49	5.03	4.95	5.03	1.89	0.0	25.98	False	None	None	hemisphere, False	Advanced	53769	104682.0	163392	52366	14.37	27.97	43.66	13.99	22021584
f1_b1_30k1kx1_low.tif	30000	(9479.0, 7109.0)	(1024, 768)	9.26	True	(3, 30, 1021, 630)	(133, 255)	1.8	55115727.0	438799	14644474	0	1315	3614.0	10750	247408	1807	3393	1368	0.5	1.37	4.09	94.04	0.0	0.5	1.37	4.09	94.04	16.68	22.92	43.04	17.35	0.0	16.68	22.92	43.04	17.35	34.42	33.19	34.42	3.74	0.0	174.38	False	None	None	hemisphere, False	Advanced	76526	141374.0	571046	1676985	3.1	5.73	23.16	68.01	137263572
f1_b1_30k1kx1_high.tif	30000	(9479.0, 7109.0)	(1024, 768)	9.26	True	(3, 30, 1021, 630)	(122, 255)	1.8	55115727.0	240079	39974263	0	590	1822.0	5195	710528	911	1631	1181	0.08	0.25	0.72	98.94	0.0	0.08	0.25	0.72	98.94	13.68	21.12	37.82	27.38	0.0	13.68	21.12	37.82	27.38	43.56	40.46	43.56	7.53	0.0	220.69	False	None	None	hemisphere, False	Advanced	34720	72102.0	275958	2867227	1.07	2.22	8.49	88.22	180908374
f2_b2_30k31_low.tif	30000	(9479.0, 7109.0)	(1024, 768)	9.26	True	(6, 18, 1004, 606)	(92, 255)	1.7	52133345.0	296949	32508185	0	688	2408.0	5907	543403	1204	1858	1296	0.12	0.44	1.07	98.37	0.0	0.12	0.44	1.07	98.37	13.63	23.86	36.82	25.68	0.0	13.63	23.86	36.82	25.68	43.41	40.14	43.41	7.73	0.0	219.96	False	None	None	hemisphere, False	Advanced	40052	95562.0	313768	2571475	1.33	3.16	10.39	85.12	177772466
